"Year","WSTBS","GSTBS","WSTSWP","WSTCVP","GSTSWP","GSTCVP"
1980,11.0761285433373,9.14984503761047,26.1980174657388,17.3145465969209,1.80675982522337,3.46290931938419
1981,21.8477967961979,6.37688037915338,5.83990487099856,0,2.18996432662446,11.5895922023636
1982,719.687865670317,57.3104132871786,113.129158339909,47.5949616442311,0,15.8649872147437
1983,599.634141035589,19.7190855575003,30.6935167495472,56.0926191319113,1.22774066998189,40.5113360397137
1984,40.6571141101275,9.62826838093829,5.77883434921962,14.4313631429741,2.88941717460981,11.5450905143793
1985,44.0389592930578,0,6.58192724086428,6.24084208302779,0,9.98534733284447
1986,23.5028502719836,0,6.11707855487106,4.6303095087041,0.87386836498158,4.6303095087041
1987,8.46623632280025,0,3.62229570073191,0,0.517470814390273,0
1988,0,0,0.409941520763959,0,0,0
1989,0,0,0.698853807445725,0,2.09656142233717,0
1990,0,0,0.426060561709265,0,1.70424224683706,0
1991,0,0,0.929949784156168,2.96375369283279,3.71979913662467,2.96375369283279
1992,0,0,0,0.911699759136278,0.838518163777985,0.911699759136278
1993,72.4959650217059,0,0.776808227365171,2.68442224087564,0.776808227365171,0
1994,0,0,1.96388348193607,0,0.714139447976752,0.467102082035796
1995,348.611219762073,0,12.7318567792602,19.14824356632,1.52022170498629,1.95390240472653
1996,161.000617910055,0,3.14426070571157,7.20240410778661,0.428762823506123,2.0006678077185
1997,46.732367444996,0,1.41361618446226,3.05730648022407,0.282723236892452,1.14648993008403
1998,327.734569484202,0,3.42384411353869,10.1535626458138,2.20104264441773,1.32437773641049
1999,18.1908214968129,0,0.59128600649679,2.33643032322322,0.473028805197432,0.389405053870537
2000,0,0,0.673889960752249,0,0.505417470564187,0
2001,0,0,0.5667592747167,0.779422272279879,1.1335185494334,0.779422272279879
2002,0,0,0.147720783862734,0,0.443162351588202,0
2003,0,10.2300354910103,0,0.710829386584524,0,0
2004,19.1314946202709,0,0.146120956060127,0.366458152208582,0.438362868180381,0
2005,0,9.09336431630769,0.264413424523964,0,0.264413424523964,0.360498602087379
2006,234.599454467261,9.37010994487844,0.384226811179756,1.82495430107732,0.640378018632926,10.219744086033
2007,30.1915702813208,0,1.84871772226507,0.26826298216327,0,0.53652596432654
2008,0,0,0.229947626236453,0,0,0
2009,0,11.6914688214824,0.253259943357531,0,0,0
2010,0,0,0.169474237443223,0.314073288255298,0.0847371187216113,0
2011,48.8061929857691,0,0.123994247169381,5.44466547168889,0,0.151240707546914
2012,11.0761285433373,0,0.52024036305536,0.165712487456351,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0.233716128970234,0
2016,18.4140638838186,0,0.938949832451096,0.288809433973135,0,0
